review_id,rating,content,review_date,product_id,user_id
e440b850-09b8-4e54-9328-9b29a42d9e7d,4,Great laptop!,2023-02-01,ef2fe056-1201-4aaf-bc56-0aeb9b6f36ee,d63133a3-6c20-4a49-ae1b-9bf61ef3271a
b4e4d4ad-e320-4cf2-9293-4f8c8800cf50,5,Excellent smartphone,2023-02-02,3a89e838-23c3-4782-808a-b5c0a1f4f6e1,f5f02984-78e3-4c11-83cf-7694b907d9fe
3c3f01b4-eeb4-4cc5-94a5-85d11602f6f6,4,Comfortable T-shirt,2023-02-03,8c222aae-0e54-49e7-8e48-37842fbc8f6c,3e5b1ed1-5125-4eb9-a06c-0f672d33fe69
dda9e6aa-d675-43c1-8e59-eed635491cc1,5,Love the skinny jeans!,2023-02-04,6149f351-c808-4db2-93a2-9140b80ea531,832130e2-778d-4c1b-aa32-c3f89e1d5a25
7e5a5862-c7f2-4c80-bc93-bc0a3ac65da8,3,Sofa is okay but expected more,2023-02-05,ba7bbf35-3787-46a2-b78b-07a7b39c9ab8,e9b43210-06d7-4e5a-8c05-7466752cfb2a
9967c53d-97b1-4a53-9f29-88b2e8da662c,4,Good coffee table,2023-02-06,69d4c6a1-25ce-4f87-9442-46d4d0f2db5e,f5f02984-78e3-4c11-83cf-7694b907d9fe
23b7e21a-04bb-4c6e-b671-d8aa55a2c91c,5,Amazing novel!,2023-02-07,f7f5104f-6ad3-4abf-8cfb-bd2a56cb74ea,d63133a3-6c20-4a49-ae1b-9bf61ef3271a
c0170e3b-1201-419e-85f8-1c6d64e42a63,4,Great cookbook,2023-02-08,3c98c83c-0bc4-45ed-a6a4-81e7319ef8bf,832130e2-778d-4c1b-aa32-c3f89e1d5a25
c144b4ab-878c-404b-8e65-15ea46af7b13,5,Excellent shampoo,2023-02-09,760c6e72-6b83-41f4-8a16-9807d762e76b,e9b43210-06d7-4e5a-8c05-7466752cfb2a
4c8de676-3a97-410a-92c9-7c318c736a97,3,Perfume scent doesn't last long,2023-02-10,c104c7fe-b87d-44f1-8ae3-bbba07d73d50,3e5b1ed1-5125-4eb9-a06c-0f672d33fe69
f79a72b4-e1f1-47f7-8b9b-02c3c8cf1d69,5,Headphones are fantastic!,2023-02-11,7ea7a7b5-cc9e-405e-8ab4-c8e3e8dd22f2,832130e2-778d-4c1b-aa32-c3f89e1d5a25
06ebe6e2-c5e8-4382-aa5f-4bc4530b732a,4,Stylish wristwatch,2023-02-12,8c74f072-9cc4-4b12-b15c-0e7d40e06a48,d63133a3-6c20-4a49-ae1b-9bf61ef3271a
fdffdaab-1fc3-4d1a-9471-3db3d25c60a8,5,Comfy sweater,2023-02-13,5519c993-3f1a-4cc3-8d8b-e4b3e9144dfb,f5f02984-78e3-4c11-83cf-7694b907d9fe
ed2ef844-554e-442b-b12d-2cfebc58bcf1,4,Cute floral-printed skirt,2023-02-14,201651bc-dc06-43b0-92bf-36da75479338,e9b43210-06d7-4e5a-8c05-7466752cfb2a
a16f97a7-7c62-4a2e-8a9c-0db21c07d52a,5,Love the laptop!,2023-02-15,ef2fe056-1201-4aaf-bc56-0aeb9b6f36ee,3e5b1ed1-5125-4eb9-a06c-0f672d33fe69
f9a38fbb-73d8-40b5-8ad1-1b03b5743a29,4,Smartphone meets expectations,2023-02-16,3a89e838-23c3-4782-808a-b5c0a1f4f6e1,f5f02984-78e3-4c11-83cf-7694b907d9fe
200dfc32-1d9c-4b6d-9d1c-0dbb10756dd4,5,Quality T-shirt,2023-02-17,8c222aae-0e54-49e7-8e48-37842fbc8f6c,d63133a3-6c20-4a49-ae1b-9bf61ef3271a
aa5016f4-7e32-43f5-9c4d-1db01f6eebbb,4,Great pair of jeans,2023-02-18,6149f351-c808-4db2-93a2-9140b80ea531,e9b43210-06d7-4e5a-8c05-7466752cfb2a
4820782b-e5e9-4407-8770-9c98a0b8a6da,3,Sofa is okay,2023-02-19,ba7bbf35-3787-46a2-b78b-07a7b39c9ab8,3e5b1ed1-5125-4eb9-a06c-0f672d33fe69
0538d524-9b8b-4e42-85f5-23e86db62a13,5,Perfect coffee table,2023-02-20,69d4c6a1-25ce-4f87-9442-46d4d0f2db5e,f5f02984-78e3-4c11-83cf-7694b907d9fe
